Country Name,Country Code,Indicator Name,Indicator Code,_1960,_1961,_1962,_1963,_1964,_1965,_1966,_1967,_1968,_1969,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014
North America,NAC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.027188485,8.845312986,8.585019602,8.648188053,8.61038232,8.861329721,9.249208141,8.829332129,8.807678091,8.334092723,8.624126829,8.462180548,8.743603486,8.44752392,8.35432983,8.926030486,9.073314459,8.540564029,8.928764145,8.633416618,8.758879354,7.377265442,8.135068799,8.303668,6.943568918,7.13400287,6.625888536,5.466642394,5.444575906,9.680852941,8.977126366,7.037637467,7.232813735,7.375198062,6.921891262,7.002998024,7.002577783,6.058170153,6.121613237,5.916880157,5.967745522,4.828127826,6.460601134,5.725173663,6.395145689,6.55986989,6.516118482,6.339613361,6.007321634,6.571756467,6.306417687,6.35766137,6.571058586,6.292920202,6.286488615
Namibia,NAM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39884809,20,16.79520137,22.88329519,19.72672929,24.63605823,38.78504673,30.12757605,18.36228288,14.4989339,18.16680429,16.09517145,15.13019001,10.80493111,23.07228916,21.85554172,22.71573604,20.54707379,17.11409396,25.21072797,25.17482517,25.92818016,27.72351615,36.24833111
New Caledonia,NCL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,NER,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.93203883,21.11111111,16.23036649,26.80412371,28.7804878,29.25764192,36.69724771,43.75,39.47368421,44.74708171,38.90784983,40.35087719,39.59899749,33.63431151,41.76072235
Nigeria,NGA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,13.24854266,14.17076442,19.16190476,11.41233056,16.25288684,18.07111544,14.68279228,7.206813715,31.20420516,29.06960524,49.26697531,24.28504454,24.03305406,42.23063224,32.85392819,27.59613598,30.19973369,32.40947314,29.70420667,38.41640051,37.58029223,38.57354726,27.85246467,34.32489859,37.71835782,41.47017177,42.27213501,40.75177023,43.83740444,38.14762002,38.71426724,37.53074959,33.39278637,31.08135942,23.70534007,31.07312852,11.53277048,9.422074846,5.865399201,17.21603308,9.547236813,8.656726817,15.11962054,16.10727213
Nicaragua,NIC,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,8.823529412,11.4893617,13.71681416,13.29268293,14.1723356,14.38356164,14.10034602,12.21441125,13.4720701,15.12437811,13.78640777,15.06986028,19.70387244,13.70449679,14.4379845,15.5071249,15.88419405,15,16.67735728,16.81537406,21.36695421,21.53752288,22.24783862,26.74684994,27.00808625,26.19167085,25.33007335,26.30185349,27.00831025,30.45512548,30.51587302,30.15267176,29.54545455,27.96030116,27.04031465,26.96234844,22.10099751,21.27343053,20.56183029,18.47499317,17.62552301,15.92656909,15.43446952,20.8277103
Netherlands,NLD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.587551465,6.400363141,6.180212932,6.276210446,6.189336235,6.037584966,5.565323478,4.854272026,5.006097742,5.047921602,5.078564785,5.135399964,5.202720429,5.196952135,4.908602838,4.485974419,4.442953713,4.344096352,4.339567504,4.332650782,4.238805049,4.330788566,4.18158907,4.211232188,4.173436554,4.151111252,4.151404151,4.063198819,3.989312034,4.032854209,4.344986661,4.422994192,4.072122914,4.078590962,4.205742046,5.11168332,5.020896012,5.151231464,5.086977995,5.493542435,5.485825217,5.394873109,5.319802878,5.339916131,5.299662102,5.409273326,5.51131707,5.252698141,5.056158881,4.613381886,4.722897627,4.561129489,5.025266704,5.045411654,4.770929625
Norway,NOR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.93728533,10.34970392,9.60736486,9.284695639,9.409146095,10.06256307,10.00531545,10.29923973,9.626386747,9.291021457,8.974336937,8.934642992,8.854598177,8.63629517,8.152322805,8.386196561,9.02119982,9.328590608,9.051324237,8.616226194,8.514626866,9.150073687,8.021171322,7.859710025,7.11945778,8.830028522,7.131773323,8.173174186,7.003439066,6.493746793,5.662316731,6.121396851,5.81580026,7.500125294,7.187308031,7.861455146,8.417543793,7.525295491,6.850409255,7.355646962,8.196560266,8.201801742,7.1122543,8.658560594,9.884021906,7.286239936,8.343370015,7.428441284,6.872667266,5.785660297,7.701358347,6.416871093,6.20414064,6.024611049,6.079617068
Nepal,NPL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,15.11627907,16.82242991,28.84615385,26.78571429,37.5,27.27272727,26.75159236,28.73563218,30.05181347,21.19815668,21.34387352,21.2962963,20.8913649,21.50259067,21.62790698,20.51756007,21.80851064,23.28767123,21.08938547,18.90660592,19.31330472,20.76749436,21.11468382,21.48514851,19.73244147,20.88452088,22.41231822,22.72,21.85385656,21.21760096,20.99625067,19.64201602,19.49713277,27.12985939,28.34583498,29.65793304,30.26504298,31.86344239,34.44622793,34.32044888,31.55784651,30.26463964,32.84048905,32.20963919
Nauru,NRU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
